head_id,layer_x,n_comp_99,evr1,layer_y,twonn_id,ratio,global_idx,mean_acc,std_acc
L0_B0_H0,0,2,0.9606004,0,3.6102283932859365,0.5539815718361385,0,0.083,0.008276472678623421
L0_B0_H1,0,3,0.92970365,0,5.234347959736913,0.5731372891287084,1,0.10049999999999999,0.011335784048754634
L0_B0_H2,0,2,0.9676021,0,3.8938914818800368,0.5136249968204984,2,0.08149999999999999,0.011022703842524302
L0_B0_H3,0,4,0.8066112,0,6.064285451549568,0.6595995574347354,3,0.0925,0.01802775637731995
L0_B1_H0,0,10,0.52252823,0,7.545759335304379,1.3252476729827511,4,0.11850000000000001,0.015540270267920061
L0_B1_H1,0,4,0.8313568,0,5.860079665365814,0.6825845770733735,5,0.1635,0.014195069566578391
L0_B1_H2,0,7,0.5985062,0,5.47030910214816,1.2796351850119656,6,0.188,0.021354156504062624
L0_B1_H3,0,6,0.7097794,0,5.939392697937094,1.010204292786358,7,0.143,0.01607793519081353
L1_B0_H0,1,15,0.30769643,1,8.07235244736944,1.8581943860600503,8,0.181,0.015215124054702944
L1_B0_H1,1,14,0.4204068,1,7.201320530002438,1.9440878852250254,9,0.27149999999999996,0.020591260281974
L1_B0_H2,1,14,0.30525485,1,7.914937552074478,1.7688073857677686,10,0.2605,0.027676705006196095
L1_B0_H3,1,13,0.41968673,1,6.656652493913272,1.9529335520949869,11,0.27299999999999996,0.012589678312014161
L1_B0_H4,1,15,0.46881703,1,6.9279649414241025,2.1651379772884103,12,0.28500000000000003,0.013509256086106284
L1_B0_H5,1,14,0.28109932,1,7.776181530866775,1.8003694929739487,13,0.28500000000000003,0.02162174831043965
L1_B0_H6,1,9,0.74714434,1,6.717067211007468,1.3398704698460393,14,0.2575,0.020796634343085426
L1_B0_H7,1,14,0.5417235,1,8.117387091171901,1.7246929144509764,15,0.2665,0.02374868417407583
L1_B1_H0,1,17,0.33434293,1,6.731437726718729,2.5254634582034123,16,0.351,0.022505554869853794
L1_B1_H1,1,20,0.22684996,1,7.859957035953359,2.544543170976015,17,0.363,0.030099833886584833
L1_B1_H2,1,19,0.29851377,1,7.690816098075505,2.470479043798021,18,0.313,0.014265342617687119
L1_B1_H3,1,18,0.24688914,1,7.333908461719075,2.4543529679917473,19,0.327,0.01812456896039186
L1_B1_H4,1,20,0.23001024,1,8.017054331817636,2.4946818584757646,20,0.32249999999999995,0.01620185174601965
L1_B1_H5,1,19,0.24700014,1,7.90318655694159,2.4040935720177035,21,0.30900000000000005,0.02704625667259705
L1_B1_H6,1,18,0.2740799,1,6.470750445711658,2.781748446492646,22,0.4025,0.010606601717798203
L1_B1_H7,1,18,0.3070165,1,6.849012998632344,2.6281159056924492,23,0.3975,0.02196588263648879
L2_B0_H0,2,19,0.19918291,2,7.506836902812466,2.5310260827541855,24,0.35350000000000004,0.02576819745345025
L2_B0_H1,2,20,0.24168044,2,7.051777813890175,2.836164230898651,25,0.542,0.016911534525287777
L2_B0_H10,2,20,0.18215384,2,6.853524032516073,2.9182067364338957,26,0.4645,0.025514701644346147
L2_B0_H11,2,20,0.19540173,2,7.07266645799543,2.8277878108320267,27,0.5904999999999999,0.015280706789936127
L2_B0_H12,2,20,0.19892648,2,6.848295541216988,2.920434709575321,28,0.3845,0.02363260459619294
L2_B0_H13,2,20,0.20390707,2,7.032997639527132,2.8437376244227934,29,0.5049999999999999,0.01923538406167133
L2_B0_H14,2,19,0.2062961,2,7.188589754876787,2.6430775225572267,30,0.575,0.022583179581272407
L2_B0_H15,2,19,0.24857534,2,7.490817550968077,2.536438762621382,31,0.5039999999999999,0.016703293088490053
L2_B0_H2,2,20,0.19148901,2,7.627218289116857,2.622187964455881,32,0.48200000000000004,0.017564168070250272
L2_B0_H3,2,21,0.1946191,2,8.852181100604128,2.3722966985579217,33,0.376,0.031248999983999496
L2_B0_H4,2,20,0.23483256,2,6.5182238140343784,3.0683205380180456,34,0.485,0.009746794344808952
L2_B0_H5,2,14,0.3525115,2,5.681804092500588,2.464006110044976,35,0.5029999999999999,0.012186057606953946
L2_B0_H6,2,17,0.43519333,2,6.322842222762464,2.6886642748729956,36,0.48949999999999994,0.017277152543170977
L2_B0_H7,2,20,0.36249328,2,7.946124714238702,2.5169501762490456,37,0.27999999999999997,0.011401754250991363
L2_B0_H8,2,22,0.15103474,2,10.605408780381152,2.0744132032607356,38,0.37649999999999995,0.021071307505705475
L2_B0_H9,2,20,0.21362042,2,6.800492031596117,2.940963669551698,39,0.526,0.013285330255586453
L2_B1_H0,2,21,0.23693602,2,8.742594317201599,2.4020329936482576,40,0.46950000000000003,0.0150332963783729
L2_B1_H1,2,22,0.16642833,2,9.130262521522505,2.4095692701212075,41,0.434,0.015049916943292425
L2_B1_H10,2,22,0.18090744,2,7.17523056863013,3.0661035613521985,42,0.449,0.027092434368288114
L2_B1_H11,2,20,0.22991054,2,6.714553264338259,2.978604713171646,43,0.5885,0.008154753215150055
L2_B1_H12,2,21,0.3566164,2,7.659672747271211,2.741631489084352,44,0.43950000000000006,0.009407443861113397
L2_B1_H13,2,22,0.27746174,2,8.906009167427543,2.4702422360468548,45,0.4305,0.015116216457830987
L2_B1_H14,2,17,0.3220185,2,6.3281566443768,2.686406319462114,46,0.549,0.003391164991562647
L2_B1_H15,2,19,0.24722618,2,6.961006690399104,2.7294902655682765,47,0.5255,0.01713184169901181
L2_B1_H2,2,22,0.14129633,2,9.553076504343254,2.302923041597942,48,0.40650000000000003,0.02643860813280457
