head_id,pca_90,pca_95,pca_99,evr_pc1,evr_pc2,evr_pc3,pr,twonn,mle,shannon_entropy,eff_rank,layer,block,head,pca_obj,head_dim,separability,silhouette,davies_bouldin,lr_mean,lr_std,ridge_mean,ridge_std,per_class_mean,per_class_std,spec_index,selectivity,top1_class,top1_activation,top2_class,top3_class,cluster
L0_B0_H0,2,3,6,0.5579737,0.34724346,0.048467692,2.299638,6.326252926710371,5.793876107678842,1.0491545,2.8552358,0,0,0,PCA(n_components=24),24,1.4384513588039856,-0.23269610106945038,6.551880120896876,0.253,0.009273618495495711,0.19049999999999997,0.014177446878757823,0.285,0.20772578077840986,1.466002106666565,0.4690968096256256,46.0,0.7412458658218384,6.0,36.0,5
L0_B0_H1,3,4,6,0.5260886,0.2182374,0.15614292,2.8383398,6.833722758860727,5.894214022712085,1.3191545,3.7402575,0,0,1,PCA(n_components=24),24,1.4052885572514522,-0.21753381192684174,6.0385282497239725,0.27799999999999997,0.016985287751463022,0.2245,0.011554220008291349,0.331,0.20399509798031915,1.3647987842559814,0.15936918556690216,46.0,0.6647528409957886,6.0,36.0,5
L0_B0_H2,4,4,5,0.59401625,0.1641601,0.12783259,2.468358,5.40322557115974,5.21354091007792,1.1875097,3.2789054,0,0,2,PCA(n_components=24),24,1.3765145064854847,-0.20643477141857147,6.563717625445015,0.20700000000000002,0.012884098726725125,0.17950000000000002,0.009924716620639608,0.24650000000000002,0.2043899459366825,1.4593098163604736,0.3969768285751343,46.0,0.6594613194465637,6.0,36.0,5
L0_B0_H3,4,6,8,0.3098333,0.2836049,0.22543158,4.2133446,7.629512458522348,6.690883268468127,1.6372912,5.141224,0,0,3,PCA(n_components=24),24,1.390077200442058,-0.17574544250965118,4.724735427401306,0.33399999999999996,0.015215124054702931,0.2395,0.013546217184144066,0.407,0.20736682473336954,1.2274158000946045,0.10661828517913818,20.0,0.31205087900161743,48.0,33.0,3
L0_B1_H0,5,7,12,0.4579231,0.28415772,0.09621076,3.2895365,8.121339539145527,7.392331007668616,1.5737906,4.824903,0,1,0,PCA(n_components=24),24,1.3827775277035488,-0.1770389974117279,5.396055896565431,0.41050000000000003,0.030306764921383476,0.3275,0.010368220676663849,0.49800000000000005,0.17740067643613988,0.8694047331809998,0.33854785561561584,26.0,0.23908118903636932,41.0,48.0,2
L0_B1_H1,3,5,8,0.59199303,0.23668471,0.07872702,2.4109817,6.172416291286561,6.003530120299163,1.2271004,3.4113235,0,1,1,PCA(n_components=24),24,1.493064770280169,-0.1956493854522705,5.2920551013495105,0.40099999999999997,0.025029982021567653,0.333,0.016462077633154316,0.4725,0.21161580753809486,1.3392366170883179,0.466792494058609,46.0,0.953504741191864,6.0,36.0,6
L0_B1_H2,4,5,9,0.40648133,0.30279997,0.17332952,3.4427896,5.846717379046812,6.126813518428984,1.4886887,4.431281,0,1,2,PCA(n_components=24),24,1.4943341372039083,-0.18280214071273804,4.837554325787417,0.4365,0.02686075203712658,0.339,0.017435595774162687,0.509,0.19985995096566997,1.1987574100494385,0.39368000626564026,46.0,0.6300421953201294,6.0,36.0,6
L0_B1_H3,5,6,10,0.41454926,0.23210578,0.15831429,3.8406372,6.445072723428799,6.278317246441978,1.6475871,5.194431,0,1,3,PCA(n_components=24),24,1.4471025040439405,-0.16697204113006592,4.992148728384176,0.4215,0.010908712114635724,0.3455,0.018466185312619385,0.508,0.2023264688566476,1.0530681610107422,0.2809063494205475,45.0,0.5350872874259949,38.0,46.0,5
L1_B0_H0,8,11,16,0.2619472,0.2013677,0.13953988,6.6417484,8.343342554823156,9.002039966580675,2.2151086,9.162404,1,0,0,PCA(n_components=24),24,1.2671384970661346,-0.12307506054639816,5.167314680448733,0.4425,0.02423839928708165,0.354,0.017363755354185335,0.5515,0.18353541892506742,0.574634313583374,0.29446128010749817,26.0,0.30167776346206665,35.0,20.0,6
L1_B0_H1,9,11,16,0.32968202,0.14797468,0.13938673,5.937825,7.698777534030932,8.916869135477834,2.1729028,8.783745,1,0,1,PCA(n_components=24),24,1.320195609310068,-0.10813773423433304,4.5648102760574,0.45499999999999996,0.01151086443322133,0.371,0.014543039572249,0.567,0.1910130885567793,0.8788467049598694,0.27103960514068604,10.0,0.5444209575653076,46.0,26.0,1
L1_B0_H2,9,11,15,0.24941522,0.16337152,0.11762488,7.571306,8.155114371594694,9.268414761926811,2.290438,9.879263,1,0,2,PCA(n_components=24),24,1.2523145701340683,-0.10680366307497025,4.910242956483973,0.4565,0.015459624833740308,0.36550000000000005,0.01691153452528778,0.5485,0.18883921732521558,0.5833238959312439,0.24696607887744904,10.0,0.5451892614364624,8.0,26.0,1
L1_B0_H3,8,10,15,0.23772626,0.21733691,0.12081162,6.829811,7.367451362568661,8.377090652296513,2.2035513,9.057121,1,0,3,PCA(n_components=24),24,1.3214856247243592,-0.10058891028165817,4.126667629992752,0.48650000000000004,0.006633249580710806,0.3885,0.011575836902790215,0.59,0.1859435398178705,0.7806973457336426,0.35836952924728394,35.0,0.5589374303817749,10.0,40.0,1
L1_B0_H4,9,11,15,0.32355288,0.16040991,0.11228958,6.0866613,7.01168307184696,8.614885303688101,2.1905293,8.939944,1,0,4,PCA(n_components=24),24,1.2916033384801298,-0.10232316702604294,4.488156639940588,0.48450000000000004,0.012389511693363862,0.3975,0.017175564037317664,0.5870000000000001,0.18528626500634093,0.6526718139648438,0.33315086364746094,26.0,0.5604992508888245,10.0,35.0,6
L1_B0_H5,9,11,15,0.20425513,0.17754035,0.11186214,8.308975,8.016806480079554,9.215660426928341,2.3380818,10.361342,1,0,5,PCA(n_components=24),24,1.2534914367645076,-0.10393492132425308,4.783045838713614,0.43999999999999995,0.01140175425099139,0.3645,0.02277059507347141,0.5515000000000001,0.18877301184226522,0.630591630935669,0.258183091878891,35.0,0.6170080304145813,10.0,31.0,6
L1_B0_H6,6,8,14,0.4153729,0.2464888,0.09591711,3.9736848,7.506013796275487,7.859878847998438,1.7998807,6.048926,1,0,6,PCA(n_components=24),24,1.4326643385690128,-0.12785370647907257,4.380740157180512,0.516,0.024627220712049525,0.4035,0.016628289148315878,0.617,0.16548715962273325,1.2698135375976562,0.39495447278022766,26.0,0.6420329213142395,41.0,20.0,8
L1_B0_H7,7,10,15,0.2741531,0.24776001,0.16260363,5.5952706,8.749629649645446,8.659434084041893,2.0528805,7.790309,1,0,7,PCA(n_components=24),24,1.374199950504587,-0.10196632146835327,4.4757305160030105,0.4145,0.017776388834631167,0.318,0.009669539802906866,0.5365,0.1822230775725182,0.9639618992805481,0.30481359362602234,35.0,0.8149908781051636,26.0,41.0,4
L1_B1_H0,10,13,18,0.23251213,0.16666752,0.14716132,7.627522,6.81128550849385,8.60209916917363,2.3392694,10.373654,1,1,0,PCA(n_components=24),24,1.397237799596035,-0.04657901078462601,3.484488820820864,0.6040000000000001,0.02909467305195229,0.48249999999999993,0.01483239697419132,0.7020000000000001,0.16346559270990332,0.8673191666603088,0.1848059594631195,40.0,0.38826802372932434,46.0,10.0,5
L1_B1_H1,10,14,20,0.20913123,0.16316937,0.14475863,8.277518,8.085881379964224,9.504168413748745,2.4178581,11.221798,1,1,1,PCA(n_components=24),24,1.3101446207643772,-0.05967935919761658,3.682281580870673,0.6239999999999999,0.02653299832284318,0.476,0.012103718436910198,0.7265,0.15711540344600208,0.6937177777290344,0.33797454833984375,10.0,0.47900858521461487,22.0,40.0,7
L1_B1_H2,10,13,19,0.21076944,0.16016454,0.121727645,8.560264,7.746999426196129,9.318531661105146,2.4322672,11.384665,1,1,2,PCA(n_components=24),24,1.2887100802882503,-0.055100418627262115,3.624674295228822,0.609,0.026248809496813356,0.471,0.014370107863199902,0.7175,0.13372079120316333,0.7063725590705872,0.2513033449649811,9.0,0.380941778421402,40.0,15.0,1
L1_B1_H3,11,14,19,0.19579054,0.14830133,0.12592183,9.284962,7.826476574589429,9.258322183299668,2.4948611,12.120049,1,1,3,PCA(n_components=24),24,1.3433180566832443,-0.04538265988230705,3.2337083316353348,0.618,0.013729530217745981,0.4774999999999999,0.012349089035228453,0.721,0.14468586662144994,0.7857511639595032,0.3672586977481842,22.0,0.4057696461677551,35.0,10.0,6
