head_id,evr_pc1
L0_B0_H0,0.96
L0_B0_H1,0.94
L0_B0_H2,0.97
L0_B0_H3,0.86
L0_B1_H0,0.56
L0_B1_H1,0.81
L0_B1_H2,0.61
L0_B1_H3,0.81
L1_B0_H0,0.38
L1_B0_H1,0.38
L1_B0_H2,0.22
L1_B0_H3,0.45
L1_B0_H4,0.43
L1_B0_H5,0.29
L1_B0_H6,0.78
L1_B0_H7,0.56
L1_B1_H0,0.46
L1_B1_H1,0.23
L1_B1_H2,0.43
L1_B1_H3,0.26
L1_B1_H4,0.26
L1_B1_H5,0.28
L1_B1_H6,0.28
L1_B1_H7,0.33
L2_B0_H0,0.29
L2_B0_H1,0.23
L2_B0_H10,0.31
L2_B0_H11,0.26
L2_B0_H12,0.29
L2_B0_H13,0.26
L2_B0_H14,0.26
L2_B0_H15,0.36
L2_B0_H2,0.31
L2_B0_H3,0.23
L2_B0_H4,0.27
L2_B0_H5,0.37
L2_B0_H6,0.38
L2_B0_H7,0.41
L2_B0_H8,0.21
L2_B0_H9,0.23
L2_B1_H0,0.33
L2_B1_H1,0.19
L2_B1_H10,0.27
L2_B1_H11,0.23
L2_B1_H12,0.38
L2_B1_H13,0.3
L2_B1_H14,0.43
L2_B1_H15,0.26
L2_B1_H2,0.18
L2_B1_H3,0.22
L2_B1_H4,0.46
L2_B1_H5,0.29
L2_B1_H6,0.33
L2_B1_H7,0.29
L2_B1_H8,0.21
L2_B1_H9,0.29
L2_B2_H0,0.17
L2_B2_H1,0.22
L2_B2_H10,0.27
L2_B2_H11,0.4
L2_B2_H12,0.26
L2_B2_H13,0.21
L2_B2_H14,0.17
L2_B2_H15,0.15
L2_B2_H2,0.18
L2_B2_H3,0.21
L2_B2_H4,0.18
L2_B2_H5,0.3
L2_B2_H6,0.25
L2_B2_H7,0.28
L2_B2_H8,0.27
L2_B2_H9,0.25
L2_B3_H0,0.27
L2_B3_H1,0.17
L2_B3_H10,0.22
L2_B3_H11,0.21
L2_B3_H12,0.14
L2_B3_H13,0.16
L2_B3_H14,0.14
L2_B3_H15,0.19
L2_B3_H2,0.19
L2_B3_H3,0.18
L2_B3_H4,0.31
L2_B3_H5,0.16
L2_B3_H6,0.29
L2_B3_H7,0.22
L2_B3_H8,0.26
L2_B3_H9,0.15
L2_B4_H0,0.15
L2_B4_H1,0.16
L2_B4_H10,0.19
L2_B4_H11,0.18
L2_B4_H12,0.3
L2_B4_H13,0.16
L2_B4_H14,0.21
L2_B4_H15,0.13
L2_B4_H2,0.16
L2_B4_H3,0.21
L2_B4_H4,0.19
L2_B4_H5,0.17
L2_B4_H6,0.17
L2_B4_H7,0.21
L2_B4_H8,0.22
L2_B4_H9,0.27
L2_B5_H0,0.14
L2_B5_H1,0.15
L2_B5_H10,0.21
L2_B5_H11,0.23
L2_B5_H12,0.22
L2_B5_H13,0.21
L2_B5_H14,0.32
L2_B5_H15,0.2
L2_B5_H2,0.17
L2_B5_H3,0.24
L2_B5_H4,0.24
L2_B5_H5,0.24
L2_B5_H6,0.17
L2_B5_H7,0.2
L2_B5_H8,0.16
L2_B5_H9,0.23
L3_B0_H0,0.36
L3_B0_H1,0.28
L3_B0_H10,0.24
L3_B0_H11,0.2
L3_B0_H12,0.16
L3_B0_H13,0.28
L3_B0_H14,0.17
L3_B0_H15,0.22
L3_B0_H16,0.14
L3_B0_H17,0.16
L3_B0_H18,0.14
L3_B0_H19,0.25
L3_B0_H2,0.29
L3_B0_H20,0.29
L3_B0_H21,0.22
L3_B0_H22,0.25
L3_B0_H23,0.15
L3_B0_H24,0.17
L3_B0_H25,0.18
L3_B0_H26,0.19
L3_B0_H27,0.17
L3_B0_H28,0.18
L3_B0_H29,0.22
L3_B0_H3,0.19
L3_B0_H30,0.23
L3_B0_H31,0.24
L3_B0_H4,0.23
L3_B0_H5,0.25
L3_B0_H6,0.23
L3_B0_H7,0.16
L3_B0_H8,0.23
L3_B0_H9,0.27
L3_B1_H0,0.28
L3_B1_H1,0.18
L3_B1_H10,0.22
L3_B1_H11,0.18
L3_B1_H12,0.22
L3_B1_H13,0.41
L3_B1_H14,0.18
L3_B1_H15,0.38
L3_B1_H16,0.37
L3_B1_H17,0.18
L3_B1_H18,0.24
L3_B1_H19,0.27
L3_B1_H2,0.27
L3_B1_H20,0.48
L3_B1_H21,0.31
L3_B1_H22,0.21
L3_B1_H23,0.25
L3_B1_H24,0.26
L3_B1_H25,0.24
L3_B1_H26,0.18
L3_B1_H27,0.3
L3_B1_H28,0.3
L3_B1_H29,0.64
L3_B1_H3,0.26
L3_B1_H30,0.23
L3_B1_H31,0.19
L3_B1_H4,0.22
L3_B1_H5,0.16
L3_B1_H6,0.31
L3_B1_H7,0.27
L3_B1_H8,0.35
L3_B1_H9,0.33
